Unnamed: 0;PEV;Cidade;Endereço;Ponto de Referência;CidadeExtraida;Endereço2;latitude;longitude
0;PEV  1;PEV 1  ALFREDO WAGNER;Rua Anitápolis, 199 ;Praça da Bandeira;ALFREDO WAGNER;ALFREDO WAGNER, Rua Anitápolis, 199;-27.7012801;-49.3341594
1;PEV  2;PEV 2  ALFREDO WAGNER;Rua do Comércio, 277;Posto de Gasolina ALE;ALFREDO WAGNER;ALFREDO WAGNER, Rua do Comércio, 277;-27.6972612;-49.3339009
2;PEV  3;PEV 3  LEOBERTO LEAL;Rua Aquino de Campos, 77 ; Praça Silveira F. de Campos;LEOBERTO LEAL;LEOBERTO LEAL, Rua Aquino de Campos, 77;-27.5072225;-49.2862855
3;PEV  4;PEV 4  MAJOR GERCINO;SC 408, número 30;;MAJOR GERCINO;MAJOR GERCINO, SC 408, número 30;-27.4229462;-48.9576957
4;PEV  5;PEV 5  ANITÁPOLIS;Rua Manoel Moraes Teodoro, 239; Praça Roberto Beppler e Em frente da Rua Coberta;ANITÁPOLIS;ANITÁPOLIS, Rua Manoel Moraes Teodoro, 239;-27.9041265;-49.1281314
5;PEV  6;PEV 6  SÃO BONIFÁCIO;Rua Padre Sebastião a Van Lieshout;Em frente ao Estádio de Futebol e ao lado do Pavilhão de Eventos e Ginásio de Esportes;SÃO BONIFÁCIO;SÃO BONIFÁCIO, Rua Padre Sebastião a Van Lieshout;-27.9002453;-48.9283849
6;PEV  7;PEV 7  RANCHO QUEIMADO;Rua Romanos Goedert, 1175;Praça Teófilo Schulz  - Taquaras;RANCHO QUEIMADO;RANCHO QUEIMADO, Rua Romanos Goedert, 1175;-27.6418608;-49.1096089
7;PEV  8;PEV 8  RANCHO QUEIMADO;DEFINIR LOCAL;;RANCHO QUEIMADO;RANCHO QUEIMADO, DEFINIR LOCAL;-27.6734753;-49.0125454
8;PEV  9;PEV 9  RANCHO QUEIMADO;Rua Doná Lia, 1040 ;Esquina Rua Geral de Rancho Queinado 237 - Praça Leonardo Sell;RANCHO QUEIMADO;RANCHO QUEIMADO, Rua Doná Lia, 1040;-27.67273;-49.0129852
9;PEV  10;PEV 10   SÃO PEDRO DE ALCÂNTARA;Rua João Pering, 2428 ; Praça João Adalgisio Philippi;SÃO PEDRO DE ALCÂNTARA;SÃO PEDRO DE ALCÂNTARA, Rua João Pering, 2428;-27.5686193;-48.80589879999999
10;PEV  11;PEV 11  SÃO PEDRO DE ALCÂNTARA;Rua Vidal João Vieira, 696 – SC 281;Instalado em Dezembro 2023;SÃO PEDRO DE ALCÂNTARA;SÃO PEDRO DE ALCÂNTARA, Rua Vidal João Vieira, 696 – SC 281;-27.5635716;-48.7994219
11;PEV  12;PEV 12  SÃO PEDRO DE ALCÂNTARA;SC 281 nº 6684 – Acesso Hospital;Acesso Hospital Santa Tereza;SÃO PEDRO DE ALCÂNTARA;SÃO PEDRO DE ALCÂNTARA, SC 281 nº 6684 – Acesso Hospital;-27.5687612;-48.75314239999999
12;PEV  13;PEV 13  ANTÔNIO CARLOS;Rua João Henrique Pauli, 557;Posto de combustível - Instalado em Dezembro 2023;ANTÔNIO CARLOS;ANTÔNIO CARLOS, Rua João Henrique Pauli, 557;-27.5185048;-48.7740653
13;PEV  14;PEV 14  ANTÔNIOCARLOS;Rod. João Adão Reitz, 119 ;Praça Anchieta;ANTÔNIOCARLOS;ANTÔNIOCARLOS, Rod. João Adão Reitz, 119;-27.5168589;-48.7677454
14;PEV  15;PEV 15  ANTONIO CARLOS;Rua Daniel Petry, 578;Supermercados FF;ANTONIO CARLOS;ANTONIO CARLOS, Rua Daniel Petry, 578;-27.5138878;-48.76343139999999
15;PEV  16;PEV 16  NOVA TRENTO;Rua Alferes Trinta- Réis,  1041;Oratório do Calvário;NOVA TRENTO;NOVA TRENTO, Rua Alferes Trinta- Réis,  1041;-27.2951468;-48.9408637
16;PEV  17;PEV 17  NOVA TRENTO;Rua Santo Inácio, 143 ; Praça da Cidade;NOVA TRENTO;NOVA TRENTO, Rua Santo Inácio, 143;-27.2859347;-48.930221
17;PEV  18;PEV 18  NOVA TRENTO;Rua Nicolau Babo 244; Supermercado Arche;NOVA TRENTO;NOVA TRENTO, Rua Nicolau Babo 244;-27.2504763;-48.9423737
18;PEV  19;PEV 19  NOVA TRENTO;Rua Madre Paulina, 26 - Cascata;Esquina com Rua Luiz Busnardo, 488 - Academia Oficina do Corpo - Instalado em Dezembro 2023;NOVA TRENTO;NOVA TRENTO, Rua Madre Paulina, 26 - Cascata;-27.2781395;-48.93763149999999
19;PEV  20;PEV 20  SÃO JOÃO BATISTA;Rua João Nicolodi ;Praça Eduardo Alfredo Porto - Instalado em Dezembro 2023;SÃO JOÃO BATISTA;SÃO JOÃO BATISTA, Rua João Nicolodi;-27.2798326;-48.8327512
20;PEV  21;PEV 21  SÃO JOÃO BATISTA;Rua Padre Januário, 132 ;Praça Capitão Amorim;SÃO JOÃO BATISTA;SÃO JOÃO BATISTA, Rua Padre Januário, 132;-27.2765567;-48.8490723
21;PEV  22;PEV 22 SÃO JOÃO BATISTA;Rua Mal Floriano Peixoto, 217;Ginásio de Esportes Nilo Booz;SÃO JOÃO BATISTA;SÃO JOÃO BATISTA, Rua Mal Floriano Peixoto, 217;-27.2695442;-48.85130110000001
22;PEV  23;PEV 23  SÃO JOÃO BATISTA;Rua Getúlio Vargas, 909;Supermercados Komprão Atacadista;SÃO JOÃO BATISTA;SÃO JOÃO BATISTA, Rua Getúlio Vargas, 909;-27.2654338;-48.84503669999999
23;PEV  24;PEV 24  CANELINHA;Av. Cantório Florentino da Silva,1666 ;Ao lado da Prefeitura de Canelinha  e na frente da  Praça da Igreja Matriz – ;CANELINHA;CANELINHA, Av. Cantório Florentino da Silva,1666;-27.2666484;-48.7664322
24;PEV  25;PEV 25  CANELINHA;Av. Prefeito Silvestre Nunes Junior, 201;Mercado e Panificadora Atrativa;CANELINHA;CANELINHA, Av. Prefeito Silvestre Nunes Junior, 201;-27.2615571;-48.7673532
25;PEV  26;PEV 26  TIJUCAS;Rua São Sebastião, 260 - ;Ginasio de Esporte João Madalena - Capela Nossa Senhora dos Navegantes;TIJUCAS;TIJUCAS, Rua São Sebastião, 260 -;-27.2413358;-48.6176884
26;PEV  27;PEV 27  TIJUCAS;Avenida Paineiras - Esquina com rua Figueira;Alterado em dezembro de 2023;TIJUCAS;TIJUCAS, Avenida Paineiras - Esquina com rua Figueira;-27.2288818;-48.6463893
27;PEV  28;PEV 28  TIJUCAS;Rua Otávio Merlin, 29 ; Esquina com Rua Pedro Eulálio, 315 – SC 410 ;TIJUCAS;TIJUCAS, Rua Otávio Merlin, 29;-27.2548922;-48.6618399
28;PEV  29;PEV 29  TIJUCAS;Rua Coronel Izidoro, 1231 ;Esquina com a Rua Paraná, 25 - Instalado em Dezembro 2023;TIJUCAS;TIJUCAS, Rua Coronel Izidoro, 1231;-27.2386281;-48.6438015
29;PEV  30;PEV 30  TIJUCAS;Av. Coleira, 292;alterado a pedido da Prefeitura;TIJUCAS;TIJUCAS, Av. Coleira, 292;-27.2310535;-48.6262572
30;PEV  31;PEV 31  TIJUCAS;Rua Jucy dos Anjos, 319; Praça Odilon - Rua Irene P Barreto;TIJUCAS;TIJUCAS, Rua Jucy dos Anjos, 319;-27.2380398;-48.63473889999999
