LOCAL,DATA,VALOR
168,20230301 00:00:00,458
168,20230501 00:00:00,480
168,20230601 00:00:00,248
168,20230701 00:00:00,374
168,20230801 00:00:00,777
168,20230901 00:00:00,439.56
168,20231001 00:00:00,584
167,20231101 00:00:00,650
167,20231201 00:00:00,622
167,20240101 00:00:00,1458
167,20240201 00:00:00,331
167,20240301 00:00:00,572
167,20240401 00:00:00,675
167,20240501 00:00:00,753
166,20240601 00:00:00,0
166,20240801 00:00:00,387
166,20240901 00:00:00,609
166,20241001 00:00:00,518
166,20241101 00:00:00,185
166,20241201 00:00:00,690
166,20250101 00:00:00,637
165,20230501 00:00:00,479
165,20230601 00:00:00,250
165,20230701 00:00:00,124
165,20230801 00:00:00,879
165,20230901 00:00:00,219.78
165,20231001 00:00:00,584
165,20231101 00:00:00,650
164,20231201 00:00:00,622
164,20240101 00:00:00,1699
164,20240201 00:00:00,165
164,20240301 00:00:00,572
164,20240401 00:00:00,674
164,20240501 00:00:00,502
164,20240601 00:00:00,178
162,20240801 00:00:00,827
162,20240901 00:00:00,407
162,20241001 00:00:00,346
162,20241101 00:00:00,371
162,20241201 00:00:00,690
162,20250101 00:00:00,637
162,20230301 00:00:00,458
161,20230401 00:00:00,86.66
161,20230501 00:00:00,601
161,20230601 00:00:00,95
161,20230701 00:00:00,125
161,20230801 00:00:00,430
161,20230901 00:00:00,593.65
161,20231001 00:00:00,580
160,20231101 00:00:00,560
160,20231201 00:00:00,530
160,20240101 00:00:00,1222
160,20240201 00:00:00,628
160,20240301 00:00:00,582
160,20240401 00:00:00,661
159,20240501 00:00:00,842
159,20240601 00:00:00,80
159,20240701 00:00:00,534
159,20240801 00:00:00,472
159,20240901 00:00:00,174
159,20241001 00:00:00,190
159,20241201 00:00:00,798
158,20250101 00:00:00,279
158,20230301 00:00:00,458
158,20230501 00:00:00,479
158,20230601 00:00:00,190
158,20230701 00:00:00,374
158,20230801 00:00:00,879
158,20230901 00:00:00,439.56
156,20231001 00:00:00,600
156,20231101 00:00:00,650
156,20231201 00:00:00,622
156,20240101 00:00:00,764
156,20240301 00:00:00,572
156,20240401 00:00:00,674
156,20240501 00:00:00,502
155,20240601 00:00:00,708
155,20240801 00:00:00,275
155,20240901 00:00:00,406
155,20241001 00:00:00,346
155,20241101 00:00:00,370
155,20241201 00:00:00,690
154,20250101 00:00:00,425
154,20230301 00:00:00,280
154,20230401 00:00:00,86.67
154,20230501 00:00:00,601
154,20230601 00:00:00,247
153,20230701 00:00:00,250
153,20230801 00:00:00,144
153,20230901 00:00:00,490.65
153,20231001 00:00:00,436
153,20231101 00:00:00,140
153,20231201 00:00:00,176
153,20240101 00:00:00,1018
153,20240201 00:00:00,628
153,20240301 00:00:00,582
153,20240401 00:00:00,662
153,20240501 00:00:00,842
153,20240601 00:00:00,80
153,20240701 00:00:00,534
153,20240801 00:00:00,475
153,20240901 00:00:00,521
153,20241001 00:00:00,567
153,20241201 00:00:00,1325
153,20250101 00:00:00,279
153,20230301 00:00:00,280
152,20230401 00:00:00,86.67
152,20230501 00:00:00,480
152,20230601 00:00:00,170
152,20230701 00:00:00,249
152,20230801 00:00:00,777
152,20230901 00:00:00,219.78
152,20231001 00:00:00,584
